,Tier,Player,LP,Play Rate,Games,Win Rate,KDA,Region
0,Challenger,nemesis fan 48EUW1:,1158,20.0,64,55.0,3.97,EUW1
1,Grandmaster,ΜΑVEEUW1:,717,58.0,315,53.0,3.45,EUW1
2,Grandmaster,LeaningTable2NA1:,652,21.0,50,64.0,4.72,NA1
3,Grandmaster,ˆ       splashEUW1:,570,39.0,117,61.0,4.99,EUW1
4,Grandmaster,Lofsdals LoffeEUW1:,528,58.0,160,59.0,4.06,EUW1
5,Master,LAYCSZEUW1:,526,46.0,75,59.0,3.7,EUW1
6,Master,pon la boquitaEUW1:,490,67.0,205,58.0,4.63,EUW1
7,Master,DaraènEUW1:,476,53.0,120,59.0,3.16,EUW1
8,Master,NHWKEUW1:,455,23.0,74,53.0,3.04,EUW1
9,Grandmaster,fhzNA1:,445,57.0,101,62.0,4.75,NA1
10,Master,HOPEYOUROPEEUW1:,444,62.0,253,59.0,3.23,EUW1
11,Master,Twitch Skilsh0tEUW1:,442,52.0,108,57.0,3.75,EUW1
12,Grandmaster,ANTHONY EVELYNNNA1:,403,80.0,136,54.0,3.43,NA1
13,Grandmaster,an irregularNA1:,391,67.0,66,73.0,4.56,NA1
14,Master,cierra la bocaEUW1:,391,62.0,70,70.0,6.4,EUW1
15,Master,dlwlrma fanNA1:,360,33.0,38,50.0,3.61,NA1
16,Master,ΤΕΑRSEUW1:,359,53.0,117,54.0,3.0,EUW1
17,Master,mag1cian1NA1:,349,29.0,113,54.0,4.47,NA1
18,Master,AleisterCrowley1EUW1:,347,80.0,178,56.0,3.7,EUW1
19,Master,excodarNA1:,337,23.0,29,66.0,3.95,NA1
20,Grandmaster,오태경KR:,302,57.0,108,56.0,3.73,KR
21,Master,benebnnebEUW1:,285,80.0,130,59.0,5.06,EUW1
22,Master,míuwEUW1:,271,54.0,76,65.0,4.35,EUW1
23,Master,SL RaceEUW1:,260,41.0,100,53.0,4.07,EUW1
24,Master,PVE wertionNA1:,204,38.0,113,61.0,3.38,NA1
25,Master,elliotpickle2010NA1:,190,21.0,52,60.0,3.36,NA1
26,Master,yep chillNA1:,188,85.0,66,52.0,3.55,NA1
27,Master,GoätNA1:,184,68.0,235,53.0,3.12,NA1
28,Master,YUZUKIINA1:,184,30.0,42,57.0,3.0,NA1
