Tier,Player,LP,Play Rate,Games,Win Rate,KDA,Region
Challenger,nemesis fan 48EUW1:,1158 LP,20%,64,55%,3.97:1,EUW1
Grandmaster,ΜΑVEEUW1:,717 LP,58%,315,53%,3.45:1,EUW1
Grandmaster,LeaningTable2NA1:,652 LP,21%,50,64%,4.72:1,NA1
Grandmaster,ˆ       splashEUW1:,570 LP,39%,117,61%,4.99:1,EUW1
Grandmaster,Lofsdals LoffeEUW1:,528 LP,58%,160,59%,4.06:1,EUW1
Master,LAYCSZEUW1:,526 LP,46%,75,59%,3.7:1,EUW1
Master,pon la boquitaEUW1:,490 LP,67%,205,58%,4.63:1,EUW1
Master,DaraènEUW1:,476 LP,53%,120,59%,3.16:1,EUW1
Master,NHWKEUW1:,455 LP,23%,74,53%,3.04:1,EUW1
Grandmaster,fhzNA1:,445 LP,57%,101,62%,4.75:1,NA1
Master,HOPEYOUROPEEUW1:,444 LP,62%,253,59%,3.23:1,EUW1
Master,Twitch Skilsh0tEUW1:,442 LP,52%,108,57%,3.75:1,EUW1
Grandmaster,ANTHONY EVELYNNNA1:,403 LP,80%,136,54%,3.43:1,NA1
Grandmaster,an irregularNA1:,391 LP,67%,66,73%,4.56:1,NA1
Master,cierra la bocaEUW1:,391 LP,62%,70,70%,6.4:1,EUW1
Master,dlwlrma fanNA1:,360 LP,33%,38,50%,3.61:1,NA1
Master,ΤΕΑRSEUW1:,359 LP,53%,117,54%,3:1,EUW1
Master,mag1cian1NA1:,349 LP,29%,113,54%,4.47:1,NA1
Master,AleisterCrowley1EUW1:,347 LP,80%,178,56%,3.7:1,EUW1
Master,excodarNA1:,337 LP,23%,29,66%,3.95:1,NA1
Grandmaster,오태경KR:,302 LP,57%,108,56%,3.73:1,KR
Master,benebnnebEUW1:,285 LP,80%,130,59%,5.06:1,EUW1
Master,míuwEUW1:,271 LP,54%,76,65%,4.35:1,EUW1
Master,SL RaceEUW1:,260 LP,41%,100,53%,4.07:1,EUW1
Master,PVE wertionNA1:,204 LP,38%,113,61%,3.38:1,NA1
Master,elliotpickle2010NA1:,190 LP,21%,52,60%,3.36:1,NA1
Master,yep chillNA1:,188 LP,85%,66,52%,3.55:1,NA1
Master,GoätNA1:,184 LP,68%,235,53%,3.12:1,NA1
Master,YUZUKIINA1:,184 LP,30%,42,57%,3:1,NA1
